"","Region","Country","GDP per capita (current)","GDP per capita (constant)","Agriculture value (constant)"
"1","","Sub-Saharan Africa (all income levels)",820.186417699813,549.840504258379,83930806150.3438
"2","","Sub-Saharan Africa (developing only)",817.793989122595,547.495202125874,83760875342.75
"3","Middle East & North Africa","Algeria",2398.36512024725,1798.27583898055,4123985421.39038
"4","Middle East & North Africa","Djibouti",949.390066840675,795.319031976089,19911699.01
"5","Middle East & North Africa","Egypt, Arab Rep.",815.219106708557,853.258377094876,8322694289.58333
"6","Middle East & North Africa","Libya",7552.84999459169,7304.75352057406,1151481481
"7","Middle East & North Africa","Morocco",1403.17804195392,1032.68620743056,6057808126.08333
"8","Middle East & North Africa","Tunisia",2072.81223294955,1639.94802281811,1917664662.38125
"9","Sub-Saharan Africa","Angola",1635.90347439285,1616.11703900109,2059898680.66071
"10","Sub-Saharan Africa","Benin",468.585862936312,322.861981066955,835093228.141463
"11","Sub-Saharan Africa","Botswana",2943.19226317365,2159.03370856983,154415411.028302
"12","Sub-Saharan Africa","Burkina Faso",289.354781048241,248.583413724642,1093897041.44286
"13","Sub-Saharan Africa","Burundi",173.19372487992,147.284086719647,456042391.50625
"14","Sub-Saharan Africa","Cameroon",892.438655139077,635.642281629978,1681173780.00714
"15","Sub-Saharan Africa","Cape Verde",1553.93136232968,1597.40592886828,62872261.0375
"16","Sub-Saharan Africa","Central African Republic",414.718452969822,278.444102726132,523978860.30625
"17","Sub-Saharan Africa","Chad",475.048089676269,297.113623576382,3581262304.875
"18","Sub-Saharan Africa","Comoros",680.265509808653,534.58395659478,139746815.957667
"19","Sub-Saharan Africa","Congo, Dem. Rep.",301.619355359152,261.344280462007,3049942348.75556
"20","Sub-Saharan Africa","Congo, Rep.",1529.41470675489,964.667973901982,185202516.835192
"21","Sub-Saharan Africa","Cote d'Ivoire",1164.23793976685,715.50720148729,2350380071.08776
"22","Sub-Saharan Africa","Equatorial Guinea",6327.65206854208,4133.90579316635,185938904.333333
"23","Sub-Saharan Africa","Eritrea",226.615451438012,236.960614817586,195507603.1
"24","Sub-Saharan Africa","Ethiopia",155.188329135539,207.320091006848,4273577750.8125
"25","Sub-Saharan Africa","Gabon",6455.25995439236,4074.42118555751,377977070.972727
"26","Sub-Saharan Africa","Gambia, The",420.724838648802,405.144124832682,115052485.786957
"27","Sub-Saharan Africa","Ghana",453.724430461892,451.220284756326,4019413581
"28","Sub-Saharan Africa","Guinea",289.401344278968,413.447397130529,527548660.246154
"29","Sub-Saharan Africa","Guinea-Bissau",443.130741190515,250.858357188644,252061011.05
"30","Sub-Saharan Africa","Kenya",482.431984713131,356.689000944619,2952217308.83673
"31","Sub-Saharan Africa","Lesotho",489.118582793737,349.008896847147,124907398.008837
"32","Sub-Saharan Africa","Liberia",408.515767420186,252.587462580395,499863294.376923
"33","Sub-Saharan Africa","Madagascar",359.736653051467,270.358400603849,994660767.2725
"34","Sub-Saharan Africa","Malawi",201.492233825071,161.85439628528,522910373.295556
"35","Sub-Saharan Africa","Mali",363.736550508233,282.408202071469,1181185613.94222
"36","Sub-Saharan Africa","Mauritania",694.779037175318,482.049795351171,654776152.437736
"37","Sub-Saharan Africa","Mauritius",3704.46373603079,3452.42235443737,328814976.559459
"38","Sub-Saharan Africa","Mozambique",240.812972414182,271.446094086027,1305837827.10345
"39","Sub-Saharan Africa","Namibia",3222.17678603817,2521.47194754359,514824596
"40","Sub-Saharan Africa","Niger",357.18931327789,240.231766759064,842037582.8
"41","Sub-Saharan Africa","Nigeria",680.479316027072,461.575160617556,23304024842.0312
"42","Sub-Saharan Africa","Rwanda",241.445308981814,222.286360666528,619203541.277083
"43","Sub-Saharan Africa","Sao Tome and Principe",764.139288462662,892.236384381808,19637960.77
"44","Sub-Saharan Africa","Senegal",749.134780450294,545.910807974476,965777422.579245
"45","Sub-Saharan Africa","Seychelles",7622.31069081238,4543.19264859576,28167241.4475676
"46","Sub-Saharan Africa","Sierra Leone",363.759244993807,251.922730420839,535073394.933333
"47","Sub-Saharan Africa","Somalia",NA,115.161535238886,NA
"48","Sub-Saharan Africa","South Africa",4847.27100710963,2828.67638450765,4374835498.88679
"49","Sub-Saharan Africa","South Sudan",NA,1446.66948279486,NA
"50","Sub-Saharan Africa","Sudan",532.261860809787,474.828199000676,5412425594.39583
"51","Sub-Saharan Africa","Swaziland",1764.36269215244,1121.37769001622,154360988.239024
"52","Sub-Saharan Africa","Tanzania",341.716790251125,317.681516867437,3604406552.17391
"53","Sub-Saharan Africa","Togo",415.323215884825,289.661249127993,497691615.4
"54","Sub-Saharan Africa","Uganda",264.64885210266,231.248137436633,1731892284.5
"55","Sub-Saharan Africa","Zambia",779.022945856322,513.208623113116,1101449455.88298
"56","Sub-Saharan Africa","Zimbabwe",586.767900205594,572.402569724752,982591392.770455
