"","CountryCode","gdp_pc_k","gdp_pc_c"
"1","AGO",1635.90347439285,1616.11703900109
"2","BDI",173.19372487992,147.284086719647
"3","BEN",468.585862936312,322.861981066955
"4","BFA",289.354781048241,248.583413724642
"5","BWA",2943.19226317365,2159.03370856983
"6","CAF",414.718452969822,278.444102726132
"7","CIV",1164.23793976685,715.50720148729
"8","CMR",892.438655139077,635.642281629978
"9","COG",1529.41470675489,964.667973901982
"10","COM",680.265509808653,534.58395659478
"11","CPV",1553.93136232968,1597.40592886828
"12","DJI",949.390066840675,795.319031976089
"13","DZA",2398.36512024725,1798.27583898055
"14","EGY",815.219106708557,853.258377094876
"15","ERI",226.615451438012,236.960614817586
"16","ETH",155.188329135539,207.320091006848
"17","GAB",6455.25995439236,4074.42118555751
"18","GHA",453.724430461892,451.220284756326
"19","GIN",289.401344278968,413.447397130529
"20","GMB",420.724838648802,405.144124832682
"21","GNB",443.130741190515,250.858357188644
"22","GNQ",6327.65206854208,4133.90579316635
"23","KEN",482.431984713131,356.689000944619
"24","LBR",408.515767420186,252.587462580395
"25","LBY",7552.84999459169,7304.75352057406
"26","LSO",489.118582793737,349.008896847147
"27","MAR",1403.17804195392,1032.68620743056
"28","MDG",359.736653051467,270.358400603849
"29","MLI",363.736550508233,282.408202071469
"30","MOZ",240.812972414182,271.446094086027
"31","MRT",694.779037175318,482.049795351171
"32","MUS",3704.46373603079,3452.42235443737
"33","MWI",201.492233825071,161.85439628528
"34","NAM",3222.17678603817,2521.47194754359
"35","NER",357.18931327789,240.231766759064
"36","NGA",680.479316027072,461.575160617556
"37","RWA",241.445308981814,222.286360666528
"38","SDN",532.261860809787,474.828199000676
"39","SEN",749.134780450294,545.910807974476
"40","SLE",363.759244993807,251.922730420839
"41","SOM",NA,115.161535238886
"42","SSA",817.793989122595,547.495202125874
"43","SSD",NA,1446.66948279486
"44","SSF",820.186417699813,549.840504258379
"45","STP",764.139288462662,892.236384381808
"46","SWZ",1764.36269215244,1121.37769001622
"47","SYC",7622.31069081238,4543.19264859576
"48","TCD",475.048089676269,297.113623576382
"49","TGO",415.323215884825,289.661249127993
"50","TUN",2072.81223294955,1639.94802281811
"51","TZA",341.716790251125,317.681516867437
"52","UGA",264.64885210266,231.248137436633
"53","ZAF",4847.27100710963,2828.67638450765
"54","ZAR",301.619355359152,261.344280462007
"55","ZMB",779.022945856322,513.208623113116
"56","ZWE",586.767900205594,572.402569724752
